num_of_prev_attempts,studied_credits,clicks_week1,clicks_week2,clicks_week3,click_trend,module_presentation_length,days_since_last_click,unique_resources,registered_late,imd_band_enc,education_enc,age_enc,at_risk,gender_F,gender_M,region_East Anglian Region,region_East Midlands Region,region_Ireland,region_London Region,region_North Region,region_North Western Region,region_Scotland,region_South East Region,region_South Region,region_South West Region,region_Wales,region_West Midlands Region,region_Yorkshire Region,disability_N,disability_Y
0,240,183,20,100,-83,268,15,55,0,9,3,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,60,175,66,37,-138,268,29,84,0,2,3,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,60,107,72,0,-107,268,256,22,0,3,2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0,60,22,154,108,86,268,4,82,0,5,2,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,60,61,116,37,-24,268,21,66,0,5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0,60,135,141,135,0,268,1,88,0,8,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0,60,74,0,190,116,268,1,59,0,3,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,120,28,73,184,156,268,4,66,0,9,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0,90,26,65,161,135,268,23,76,0,7,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,60,103,103,118,15,268,11,80,0,2,4,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0,60,113,68,154,41,268,25,76,0,7,1,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,60,76,55,110,34,268,12,74,0,2,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,60,75,238,32,-43,268,23,52,0,6,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,60,40,20,221,181,268,3,98,0,5,3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0,60,58,130,156,98,268,0,73,0,4,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,60,56,6,29,-27,268,172,25,0,7,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,60,106,74,129,23,268,20,63,0,6,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0,60,152,291,228,76,268,25,81,0,4,3,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0,150,0,0,16,16,268,55,23,0,1,2,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,60,126,80,219,93,268,14,100,0,3,2,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,60,68,41,96,28,268,18,44,0,3,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0,60,39,26,140,101,268,9,60,0,0,3,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0,60,53,87,12,-41,268,213,26,0,7,1,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,60,195,229,131,-64,268,4,91,0,7,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
