id_student,code_module,code_presentation,clicks_week1,clicks_week2,clicks_week3,click_trend,days_since_last_click,assessment_click_ratio,unique_resources,registered_late,unregistered_early,num_of_prev_attempts,imd_band_enc,education_enc,final_result,result_enc,gender,age_band,region,disability,studied_credits
11391,AAA,2013J,134,20,100,-34,16,0.0,55,0,0,0,9,3,Pass,0,M,55<=,East Anglian Region,N,240
28400,AAA,2013J,134,59,37,-97,30,0.0,84,0,0,0,2,3,Pass,0,F,35-55,Scotland,N,60
30268,AAA,2013J,107,72,0,-107,257,0.0,22,0,1,0,3,2,Withdrawn,1,F,35-55,North Western Region,Y,60
31604,AAA,2013J,51,129,104,53,5,0.0,82,0,0,0,5,2,Pass,0,F,35-55,South East Region,N,60
32885,AAA,2013J,61,116,46,-15,22,0.0,66,0,0,0,5,1,Pass,0,F,0-35,West Midlands Region,N,60
38053,AAA,2013J,111,132,126,15,2,0.0,88,0,0,0,8,2,Pass,0,M,35-55,Wales,N,60
45462,AAA,2013J,74,0,190,116,2,0.0013404825737265416,59,0,0,0,3,3,Pass,0,M,0-35,Scotland,N,60
45642,AAA,2013J,28,77,194,166,5,0.0007002801120448179,66,0,0,0,9,2,Pass,0,F,0-35,North Western Region,N,120
52130,AAA,2013J,40,55,206,166,24,0.0010559662090813093,76,0,0,0,7,2,Pass,0,F,0-35,East Anglian Region,N,90
53025,AAA,2013J,103,103,118,15,12,0.0,80,0,0,0,4,4,Pass,0,M,55<=,North Region,N,60
57506,AAA,2013J,100,68,154,54,26,0.0,76,0,0,0,7,1,Pass,0,M,35-55,South Region,N,60
58873,AAA,2013J,76,55,110,34,13,0.0011547344110854503,74,0,0,0,2,2,Pass,0,F,0-35,East Anglian Region,N,60
59185,AAA,2013J,213,116,16,-197,24,0.0027223230490018148,52,0,0,0,6,1,Pass,0,M,35-55,East Anglian Region,N,60
62155,AAA,2013J,60,0,244,184,4,0.00029515938606847696,98,0,0,0,5,3,Pass,0,F,0-35,North Western Region,N,60
63400,AAA,2013J,58,130,156,98,1,0.0,73,0,0,0,4,1,Pass,0,M,35-55,Scotland,N,60
65002,AAA,2013J,56,15,20,-36,173,0.0,25,0,1,0,7,2,Withdrawn,1,F,0-35,East Anglian Region,N,60
70464,AAA,2013J,140,40,129,-11,21,0.001899335232668566,63,0,0,0,6,2,Pass,0,F,35-55,West Midlands Region,N,60
71361,AAA,2013J,206,267,240,34,26,0.0004297378599054577,81,0,0,0,4,3,Pass,0,M,35-55,Ireland,N,60
74372,AAA,2013J,0,0,16,16,56,0.0,23,0,0,0,1,2,Fail,1,M,35-55,East Anglian Region,N,150
